ils_unit_id,scope,unit,source,confirmed_on,note
1481045,RP158,B23,proposed: matched on unit id,,"RP158 | 1 Month Free – 2 Bedroom Apartment | Rivers Edge, Okotoks"
1474203,RP158,B25,proposed: matched on unit id,,"RP158 | 1 Month Free – 2 Bedroom Apartment | Rivers Edge, Okotoks"
1422157,RP169,A105,proposed: matched on unit id,,RP169 | 1 Bed 1 Bath Condo for rent in Kingsland | 7301 4A Street SW
1454993,SF120,202,proposed: matched on unit id,,SF120 - 2 Bedroom 2.5 Bathroom by Kingsway -
1531723,SF135,62,proposed: matched on unit id,,"SF135 | 2 Bedroom, 1.5 Bathrooms Townhouse – Crystallina Near West"
1455073,SF144,440,proposed: matched on unit id,,SF144 - 3 Bedroom 2.5 Bathroom Townhouse in Redstone NE -
1455001,SF146,131,proposed: matched on unit id,,SF146 - 2 Bedroom + Den 2.5 Bathroom Townhouse in Belmont SW
1455007,SF153,204,proposed: matched on unit id,,SF153 - 2 Bedroom 1 Bathroom Condo in Belvedere
1454999,SF156,#411,proposed: matched on unit id,,SF156 - 2 Bed 2.5 Bath Townhouses in Redstone NE - 301 Redstone Blvd NE
1454994,SF158,205,proposed: matched on unit id,,SF158 - 2 Bed 1.5 Bath Bi-Level Condo in Westmount - 11033 127 Street NW
1582007,SF164,426,proposed: matched on unit id,,SF164 - 2 Bed 1 Bath Cond in Cumberland - #426 12804 140 Ave NW
1455004,SF167,3,proposed: matched on unit id,,SF167 | 3 Bedroom 2.5 Bathroom House in Langdale
1569297,SF17,1012,proposed: matched on unit id,,SF17 - 1 Bed 1 Bath - #1012 10883 Sask Drive NW
1566070,SF174,261 Lower,proposed: matched on unit id,,SF174 - 1 Bed 1 Bathr Lower unit of Duplex - 265 Collicott Drive Fort McMurray
1566070,SF174,265 - Lower,proposed: matched on unit id,,SF174 - 1 Bed 1 Bathr Lower unit of Duplex - 265 Collicott Drive Fort McMurray
1566070,SF174,269  - Lower,proposed: matched on unit id,,SF174 - 1 Bed 1 Bathr Lower unit of Duplex - 265 Collicott Drive Fort McMurray
1566070,SF174,273 - Lower,proposed: matched on unit id,,SF174 - 1 Bed 1 Bathr Lower unit of Duplex - 265 Collicott Drive Fort McMurray
